#r n s p q b c T nloop nnorth e00 e01 e02 e10 e11 e12 e20 e21 e22 
7.512482411700718288e-01 3.042000000000000000e+03 2.622437306246661604e-01 3.416047717665892658e-01 7.676816962142768430e-01 5.767195240594328309e-01 1.970101413896585552e-01 4.409926610285925253e-01 1.070000000000000000e+02 0.000000000000000000e+00 -1.435060593251725747e-01 -9.883620979419426300e-01 -5.046161203094583908e-02 -9.884149282987422236e-01 1.456866502063409730e-01 -4.255971649163009518e-02 -4.941599390028239558e-02 -4.376943343769586908e-02 9.978187692378763796e-01
8.773066621237417539e-01 5.084000000000000000e+03 3.131475151501332821e-01 4.484517429824313450e-01 6.982858692164816139e-01 6.126108451304871361e-01 2.747264012687072876e-01 5.681061057548622006e-01 7.300000000000000000e+01 0.000000000000000000e+00 6.164008634713948834e-04 9.999109229668289300e-01 -1.333289846957385824e-02 9.993278072465993089e-01 -1.272207300774905875e-04 3.665948006436015039e-02 3.665451832556121392e-02 -1.334653312700686580e-02 -9.992388685093323009e-01
1.024517512623979165e+00 1.586400000000000000e+04 5.399604815475412822e-01 6.232386343932151407e-01 8.663783850198031322e-01 8.876198280116688322e-01 5.531989694703329796e-01 3.520235321583826682e-01 4.400000000000000000e+01 0.000000000000000000e+00 -3.758901812535070386e-01 -9.237211774923923535e-01 -7.379537850891293438e-02 -9.238211297129248489e-01 3.797801326872296546e-01 -4.818268477373993663e-02 -7.253338495576305833e-02 -5.006233182881514310e-02 9.961087646430588638e-01
1.196430141237405431e+00 2.616200000000000000e+04 6.028880533214402426e-01 7.006773313200572728e-01 8.604360757406199767e-01 1.029451655624108897e+00 7.213134387857151886e-01 4.079169767416704340e-01 4.200000000000000000e+01 0.000000000000000000e+00 -3.132207253963520954e-01 -9.478282238523563219e-01 -5.928267243529936753e-02 -9.480745076081689149e-01 3.157099081439516675e-01 -3.849651832654493733e-02 -5.520421365902505872e-02 -4.414648308331836635e-02 9.974986630696117684e-01
1.397189472335286675e+00 4.244500000000000000e+04 6.639496004021046005e-01 7.572292900645409830e-01 8.768144723317743416e-01 1.225075949933174702e+00 9.276633918430409187e-01 4.134628062378503666e-01 3.800000000000000000e+01 0.000000000000000000e+00 -3.287094301945087116e-01 -9.444284174142152377e-01 2.252749804766740298e-03 -9.444267878536896088e-01 3.287142043273778014e-01 2.239253844926260978e-03 2.855325824574962701e-03 1.391493406527302863e-03 9.999949554175436850e-01
1.631635942893884916e+00 6.659000000000000000e+04 7.117252959762923048e-01 7.855551584780241514e-01 9.060156862253012644e-01 1.478287758470869573e+00 1.161276574381707061e+00 3.630289350167831830e-01 2.500000000000000000e+01 0.000000000000000000e+00 -4.421845863441192237e-01 -8.959928838023697439e-01 -4.086005109141731262e-02 -8.961766815126581687e-01 4.432167885994276468e-01 -2.064543088844927876e-02 -3.660801978583066996e-02 -2.748873367623901054e-02 9.989515615925714798e-01
1.905422208552364882e+00 9.846000000000000000e+04 7.427690667759144771e-01 8.000543332696182786e-01 9.283982798273293646e-01 1.768990700764806467e+00 1.415288675660542062e+00 3.080045663635024855e-01 1.900000000000000000e+01 0.000000000000000000e+00 -5.199756868581881797e-01 -8.541084788329309507e-01 -1.113514535388757110e-02 -8.541451977798493189e-01 5.200291289806242556e-01 -2.384558926799944245e-03 -7.827271937111378308e-03 -8.271118264787047369e-03 9.999351591061654831e-01
2.225149432786608816e+00 1.385640000000000000e+05 7.551214540665792674e-01 7.996089279306722863e-01 9.443634602989947613e-01 2.101349818028707350e+00 1.680258075201248147e+00 2.516979332952516413e-01 1.700000000000000000e+01 0.000000000000000000e+00 -4.657593293006801471e-01 -8.848915810323038089e-01 -5.927646036168921981e-03 -8.848859104795699926e-01 4.657863225638410043e-01 -4.475170074568733669e-03 -6.721056771320829681e-03 -3.160938247278338720e-03 9.999724175522410885e-01
2.598526445218820591e+00 1.900430000000000000e+05 7.580696295727585854e-01 7.863540729726968825e-01 9.640309062137708551e-01 2.505059803804748242e+00 1.969863979762048523e+00 1.660930085548006641e-01 1.500000000000000000e+01 0.000000000000000000e+00 -4.354990056783422103e-01 -9.001804483815611935e-01 -3.971952258819512645e-03 -9.001833188014284337e-01 4.355078805425230959e-01 -1.696625180888110263e-03 -3.257085325921858787e-03 -2.836606587179376499e-03 9.999906724856234552e-01
3.034555606472431499e+00 2.542390000000000000e+05 7.613017226092303469e-01 7.812047490146865059e-01 9.745226505208022250e-01 2.957243172772274331e+00 2.310212410560959828e+00 1.196556801672718495e-01 1.500000000000000000e+01 0.000000000000000000e+00 -4.638735080112782461e-01 -8.859008963099004319e-01 -9.851307657286945043e-04 -8.858987704542122810e-01 4.638745532506611813e-01 -1.940967339864697189e-03 -2.176481799940262543e-03 2.763719478269394125e-05 9.999976310787739298e-01
3.543749860893881554e+00 3.389830000000000000e+05 7.746328288448570687e-01 7.871206200647438145e-01 9.841348442645810879e-01 3.487527717463430932e+00 2.745104979462796191e+00 7.870754365868615210e-02 1.400000000000000000e+01 0.000000000000000000e+00 -5.406092625109037986e-01 -8.412177003411110965e-01 9.716270901410790570e-03 -8.412227465649275704e-01 5.406676441329697491e-01 4.773808695864772966e-03 9.269085671027244011e-03 5.592782895614045735e-03 9.999414006982138003e-01
4.138386210422372535e+00 4.429130000000000000e+05 7.785385137357057062e-01 7.871303361936408116e-01 9.890846254262248838e-01 4.093214174804666428e+00 3.221893049526573183e+00 5.512269212160356840e-02 1.300000000000000000e+01 0.000000000000000000e+00 -6.053312247883839703e-01 -7.959318338350136468e-01 8.162363887199637277e-03 -7.959137339026362001e-01 6.053796629209392544e-01 6.065633263972025624e-03 9.769159705834862262e-03 2.824820306135789050e-03 9.999482906175096719e-01
4.832801721026124042e+00 5.709340000000000000e+05 7.790149419324833291e-01 7.865529146276631911e-01 9.904164455372361786e-01 4.786486302524931347e+00 3.764824752076371350e+00 4.852081209373232396e-02 1.300000000000000000e+01 0.000000000000000000e+00 -6.065869413601027160e-01 -7.949706646436722757e-01 8.597960653145005072e-03 -7.949553963903364107e-01 6.066391488779363517e-01 5.904303391279397406e-03 9.909607523933161577e-03 3.253521884191090674e-03 9.999456056576632168e-01
5.643739198611263497e+00 7.304000000000000000e+05 7.785386455373920489e-01 7.833035566541797223e-01 9.939169035091062199e-01 5.609407788496671543e+00 4.393869071453099906e+00 3.079431177267630965e-02 1.300000000000000000e+01 0.000000000000000000e+00 -7.346304257171957230e-01 -6.784613114039307336e-01 2.895952111212829992e-03 -6.784609770766901748e-01 7.346353847618403154e-01 1.246611393223268083e-03 2.973246494130055151e-03 1.048991840433249889e-03 9.999950296983499687e-01
6.590750868872473411e+00 9.238940000000000000e+05 7.780164620804765896e-01 7.827355895731837876e-01 9.939709813178668751e-01 6.551015108754755900e+00 5.127712673453989289e+00 3.045852841377549511e-02 1.200000000000000000e+01 0.000000000000000000e+00 -7.402047691674145113e-01 -6.723806019712246229e-01 1.107156099350596092e-03 -6.723811014765881389e-01 7.402051350015413922e-01 -1.117787112166340746e-04 7.443647928521979207e-04 8.271699727218015386e-04 9.999993808552538610e-01
7.696669794067012127e+00 1.160539000000000000e+06 7.779806068134355046e-01 7.820686307657033209e-01 9.947728066419627702e-01 7.656437812840459323e+00 5.987859836830893734e+00 2.641460212887482631e-02 1.200000000000000000e+01 0.000000000000000000e+00 -6.820677136193535883e-01 -7.312813892632283874e-01 3.341220631712700159e-03 -7.312842021915635371e-01 6.820726874949392116e-01 5.143913675318412260e-04 2.655120169659491713e-03 2.092532120050033528e-03 9.999942858067794038e-01
8.988160392874613436e+00 1.442604000000000000e+06 7.738204856197935522e-01 7.781608249671978506e-01 9.944223106482040775e-01 8.938027226359043453e+00 6.955222640042827642e+00 2.772735947690185138e-02 1.100000000000000000e+01 0.000000000000000000e+00 4.392020523879563432e-01 -8.983857493009139716e-01 2.145374382635376748e-03 -8.983813362399856173e-01 -4.391879804692733757e-01 4.989239118248167681e-03 3.540038681228652173e-03 4.118648365195862193e-03 9.999852523221427480e-01
1.049636133673225302e+01 1.771429000000000000e+06 7.639654358844540916e-01 7.719397587531705573e-01 9.896697601356917451e-01 1.038793140642135704e+01 8.018857263817386283e+00 4.936574890183247771e-02 1.100000000000000000e+01 0.000000000000000000e+00 5.185226216269086530e-01 -8.550583591818563534e-01 3.081112524681868699e-03 -8.550590318910492593e-01 -5.185041247662249830e-01 5.246387514574596400e-03 2.888397946927870330e-03 5.354903700629728980e-03 9.999814909105353422e-01
1.225763632328902730e+01 2.164701000000000000e+06 7.562984321754301353e-01 7.692398763112853199e-01 9.831763218023578110e-01 1.205141779432228333e+01 9.270431133480094843e+00 7.795170958747686674e-02 1.100000000000000000e+01 0.000000000000000000e+00 3.382791339114385454e-01 -9.410325550300446817e-01 4.995791604263335843e-03 -9.410413751457644693e-01 -3.382564616517352851e-01 4.867896323523662749e-03 2.890990123739362039e-03 6.347954353509939474e-03 9.999756725299022708e-01
