#r n s p q b c T nloop nnorth e00 e01 e02 e10 e11 e12 e20 e21 e22 
1.049636133673225302e+01 1.786834000000000000e+06 7.721201975501114090e-01 7.733629434297416561e-01 9.983930625456154395e-01 1.047949434056550366e+01 8.104452588875059149e+00 7.952082499314403266e-03 1.200000000000000000e+01 0.000000000000000000e+00 5.455731443132662284e-02 -9.985096542051372648e-01 1.403531680622291345e-03 -9.985093299024592195e-01 -5.455491139183711591e-02 1.696979896815165034e-03 1.617881263490272836e-03 1.494022143729178964e-03 9.999975751760855625e-01
1.225763632328902730e+01 2.191765000000000000e+06 7.676939709394083877e-01 7.699754680999681966e-01 9.970369222720955049e-01 1.222131599410273672e+01 9.410113503356882347e+00 1.440992022802049279e-02 1.200000000000000000e+01 0.000000000000000000e+00 2.127745857876933711e-01 -9.770987915677477043e-01 2.219720640537195446e-03 -9.771006181103357724e-01 -2.127711763420707947e-01 1.675889736949098818e-03 1.165217264936013741e-03 2.525477154506378108e-03 9.999961321094534838e-01
1.431445082861357854e+01 2.673792000000000000e+06 7.662430660512603575e-01 7.697716734407580308e-01 9.954160337263057157e-01 1.424883386878875946e+01 1.096834869175687288e+01 2.215439522642491735e-02 1.200000000000000000e+01 0.000000000000000000e+00 1.619583371673912475e-01 -9.867932121143058177e-01 2.941691197901985782e-03 -9.867967037299116839e-01 -1.619534603620094160e-01 1.828164257675068960e-03 1.327603011286870860e-03 3.198937620722874797e-03 9.999940021161843884e-01
1.671639597721522819e+01 3.237130000000000000e+06 7.667313763868609522e-01 7.721192541539456666e-01 9.930219616489313061e-01 1.659974832499457165e+01 1.281698529583801793e+01 3.374571135859022464e-02 1.200000000000000000e+01 0.000000000000000000e+00 1.622933056199717117e-01 -9.867350094105439284e-01 3.860589918105484641e-03 -9.867421226054584604e-01 -1.622883005398917944e-01 1.578285128744139065e-03 9.308206144730268861e-04 4.065551801055375392e-03 9.999913023929442035e-01
1.952138421604556839e+01 3.893953000000000000e+06 7.697019139694478707e-01 7.771286051548328411e-01 9.904434206434785670e-01 1.933482655863578259e+01 1.502564679442324369e+01 4.667258532248060032e-02 1.100000000000000000e+01 0.000000000000000000e+00 1.448740324682404879e-01 -9.894414075212367710e-01 4.149192546073043886e-03 -9.894498866647843949e-01 -1.448699263214219268e-01 1.275235927589823959e-03 6.606780126732214597e-04 4.290166665640679500e-03 9.999905789428940039e-01
2.279704562095193765e+01 4.647527000000000000e+06 7.722537278965893037e-01 7.811331802969866400e-01 9.886326011692123661e-01 2.253790251121491650e+01 1.760510346580874952e+01 5.600650565436540718e-02 1.100000000000000000e+01 0.000000000000000000e+00 7.202458678335994791e-02 -9.973939596196574886e-01 4.212862792352778385e-03 -9.974028334035911492e-01 -7.202302629681360535e-02 5.211540429000960373e-04 2.163727667415793476e-04 4.239457190423595589e-03 9.999909900521883888e-01
2.662235850143216709e+01 5.508494000000000000e+06 7.746696788958182811e-01 7.853896293089839276e-01 9.863507869048416810e-01 2.625898425715041995e+01 2.062353391175381390e+01 6.779948516730859021e-02 1.100000000000000000e+01 0.000000000000000000e+00 -4.930426610081805293e-03 9.999772007750042935e-01 -4.613981320912305048e-03 9.999874505969478244e-01 4.934472087798878054e-03 8.658139707571343990e-04 8.885617929110800617e-04 -4.609654585960232080e-03 -9.999889807105567519e-01
3.108955361862286182e+01 6.488947000000000000e+06 7.798743070375246944e-01 7.913983527898040826e-01 9.854383753622238951e-01 3.063683920867246258e+01 2.424594408442947113e+01 7.379147196647885265e-02 1.000000000000000000e+01 0.000000000000000000e+00 2.831660454164014115e-02 -9.995880427645854605e-01 -4.681310638912042354e-03 9.995888624065694117e-01 2.829491034897805429e-02 4.637262240175576977e-03 4.502894621599473624e-03 4.810697497132868788e-03 -9.999782903291540848e-01
3.630633792844572127e+01 7.575267000000000000e+06 7.841986840974347617e-01 7.962980234612114794e-01 9.848055137557852889e-01 3.575468177621414156e+01 2.847138242788392049e+01 7.832613101482878426e-02 1.000000000000000000e+01 0.000000000000000000e+00 3.192771388482230910e-02 -9.994702540811533087e-01 -6.311282995042688526e-03 9.994643413383084152e-01 3.188084713866241177e-02 7.392021300139162143e-03 7.186896358609806690e-03 6.543912642741185615e-03 -9.999527617483010555e-01
4.239849146579302896e+01 8.760672000000000000e+06 7.878401952252332974e-01 8.014607895746048705e-01 9.830052891837651741e-01 4.167794136428727825e+01 3.340323579366576467e+01 8.884762996368446297e-02 1.000000000000000000e+01 0.000000000000000000e+00 3.129268058044607642e-02 -9.994760603724754944e-01 -8.268789778810278768e-03 9.994571405514557361e-01 3.120465346397204714e-02 1.056852889010784224e-02 1.030496689940307853e-02 8.595018586914235370e-03 -9.999099626029800403e-01
