#r n s p q b c T nloop nnorth e00 e01 e02 e10 e11 e12 e20 e21 e22 
4.717148961805858742e-01 2.161000000000000000e+03 6.507507239657801534e-01 7.160500998923725602e-01 9.088061353019749600e-01 4.286973917622505792e-01 3.069688101949590853e-01 3.019328958303527100e-01 3.900000000000000000e+01 0.000000000000000000e+00 -7.494642759460066195e-01 -6.543800030202959750e-01 -1.004495431940097827e-01 -6.548879455783687131e-01 7.550286007477344796e-01 -3.245906328070535807e-02 -9.708283997118621889e-02 -4.145628661705141882e-02 9.944125393834561955e-01
5.508680065562376882e-01 2.362000000000000000e+03 4.655729680348011379e-01 5.455148791358539473e-01 8.534560391318964934e-01 4.701416269599701936e-01 2.564692528078018618e-01 3.467802475605494816e-01 4.100000000000000000e+01 0.000000000000000000e+00 -9.208070889429184058e-01 -3.861569474144621594e-01 -5.474593058860932615e-02 -3.862937825011821813e-01 9.223367422953002714e-01 -8.488074753574770259e-03 -5.377191230928876631e-02 -1.333213319905196537e-02 9.984642385538727849e-01
6.433028999174784657e-01 3.746000000000000000e+03 4.097183900606815588e-01 4.167682928824315014e-01 9.830843590019966438e-01 6.324210190094998740e-01 2.635730284755570252e-01 4.031234204890872530e-02 7.400000000000000000e+01 0.000000000000000000e+00 4.212618107382449795e-01 -9.067745807342124653e-01 1.727271107348652551e-02 9.068881244946535025e-01 4.213636164351330926e-01 2.575343720021439076e-03 9.613348225532503122e-03 -1.457952259160255615e-02 -9.998474989001552293e-01
7.512482411700718288e-01 5.813000000000000000e+03 4.260531793010111645e-01 4.452179599836162405e-01 9.569541608714295933e-01 7.189101302350434652e-01 3.200717015948019162e-01 1.029211086176963358e-01 7.200000000000000000e+01 0.000000000000000000e+00 -8.451060168279327101e-02 -9.964177427258814612e-01 3.104864613925335630e-03 -9.963282530808448278e-01 8.454506579510523423e-02 1.349607211645109661e-02 1.371022669700899810e-02 1.952903161929118309e-03 9.999041033284925550e-01
8.773066621237417539e-01 1.031400000000000000e+04 4.874631018054881859e-01 5.047896453218992940e-01 9.656757152667777566e-01 8.471937384546536220e-01 4.276546267534585555e-01 8.849974728673257185e-02 6.400000000000000000e+01 0.000000000000000000e+00 -2.161469928017895059e-02 9.996721791435653204e-01 -1.372366647011644299e-02 -9.997567417916907173e-01 -2.167271382355617088e-02 -4.092764051987662910e-03 -4.388851454587672229e-03 1.363186421139104751e-02 9.998974498722518200e-01
1.024517512623979165e+00 1.898900000000000000e+04 6.014954867148079032e-01 6.302262291859949128e-01 9.544120172397523305e-01 9.778118259209054308e-01 6.162426599036047170e-01 1.396071097976899766e-01 3.800000000000000000e+01 0.000000000000000000e+00 -4.714311284985286399e-01 -8.810654284985297569e-01 -3.842397412171278531e-02 -8.811837985994092071e-01 4.723585155832746296e-01 -1.981276966708905851e-02 -3.560623777541910284e-02 -2.451822711101900309e-02 9.990650891562634639e-01
1.196430141237405431e+00 3.053200000000000000e+04 6.484752851261885720e-01 6.741427483978122970e-01 9.619257741292540631e-01 1.150876989801363992e+00 7.758553769724925164e-01 1.289066581361031361e-01 3.600000000000000000e+01 0.000000000000000000e+00 -3.671117214046675792e-01 -9.301747088601002300e-01 -1.998750692304875846e-03 -9.301758449460817424e-01 3.671136434014964367e-01 -6.857895613202047436e-04 -1.371672754443636899e-03 -1.607428227673636176e-03 9.999977673416813317e-01
1.397189472335286675e+00 4.800200000000000000e+04 7.055549378083328937e-01 7.354059346768784255e-01 9.594088170070840249e-01 1.340475898787949260e+00 9.857939312599806048e-01 1.583750546900158651e-01 2.800000000000000000e+01 0.000000000000000000e+00 -4.710186227923042201e-01 -8.821142924668022856e-01 -3.978945668619592209e-03 -8.821228512792144150e-01 4.710179850672132629e-01 1.154553702169797136e-03 -8.557066494206885809e-04 -4.053735193023568634e-03 9.999914174617273721e-01
1.631635942893884916e+00 7.145800000000000000e+04 7.388563464599702257e-01 7.703279570489264261e-01 9.591451792694609679e-01 1.564975748949451129e+00 1.205544571519344466e+00 1.762652691392135873e-01 2.200000000000000000e+01 0.000000000000000000e+00 -6.290305471357636735e-01 -7.770422198868112140e-01 -2.293380220238553507e-02 -7.771774897702782292e-01 6.292668006141507453e-01 -4.294535970289226068e-03 -1.776851610155022465e-02 -1.512224051545277281e-02 9.997277617818471906e-01
1.905422208552364882e+00 1.024810000000000000e+05 7.555919090505411884e-01 7.821713971908741403e-01 9.660183327646706397e-01 1.840672785118532051e+00 1.439721604107379704e+00 1.557016075622205953e-01 1.900000000000000000e+01 0.000000000000000000e+00 -6.480158772768793707e-01 -7.615734773730108431e-01 -9.014508253736692317e-03 -7.616144462081625433e-01 6.480274383593189746e-01 1.968364928677815429e-03 -4.342594168265656585e-03 -8.141111437566822540e-03 9.999574311841733509e-01
2.225149432786608816e+00 1.423240000000000000e+05 7.626732344025233257e-01 7.834713734370237770e-01 9.734538622090802562e-01 2.166080309338468624e+00 1.697061914932303184e+00 1.252304067746350114e-01 1.700000000000000000e+01 0.000000000000000000e+00 -6.279704596450934595e-01 -7.782133165356288629e-01 -6.093913336028071968e-03 -7.782130255137610364e-01 6.279934087173193458e-01 -2.960663493149454095e-03 -6.130965164469981410e-03 -2.883153519801562314e-03 9.999770490825943270e-01
2.598526445218820591e+00 1.929470000000000000e+05 7.633845641165355467e-01 7.778992096779687726e-01 9.813412259829368267e-01 2.550041127500120020e+00 1.983674977728659972e+00 8.860378469739624285e-02 1.500000000000000000e+01 0.000000000000000000e+00 -5.815351268050757971e-01 -8.135124572099063922e-01 -3.791867100120940599e-03 -8.135168733511590755e-01 5.815410158955905962e-01 -5.861775145115794006e-04 -2.681988955736916425e-03 -2.743865052221738932e-03 9.999926390428163225e-01
